"","X","Z","Angle","RX1","RZ1","RX2","RZ2"
"1",-261.2452,-135.0596,-0.393957481695893,-270.479172322941,-138.898057390563,-252.011227677059,-131.221142609437
"2",-289.703155123619,-23.9332630491946,-0.111487484716759,-299.641072172153,-25.0458297826795,-279.765238075085,-22.8206963157097
"3",-349.733639363498,73.2813038618031,-0.593022628642793,-358.02619149395,67.692602835291,-341.441087233046,78.8700048883152
"4",-413.602499383765,166.594920042117,-0.916672209803951,-419.687143309245,158.659108281489,-407.517855458285,174.530731802745
"5",-506.220236049203,234.154536625801,-0.422435035955261,-515.34116927816,230.054710162046,-497.099302820246,238.254363089556
"6",-517.009403401123,344.83507552845,0.415254439740071,-526.159540434448,348.869303121357,-507.859266367798,340.800847935543
"7",-417.938838377786,361.202046094933,2.34701553464908,-410.932972549645,368.33772013444,-424.944704205927,354.066372055426
"8",-341.692118885561,274.486882410745,2.24653928283721,-335.437347134017,282.289307055436,-347.946890637105,266.684457766054
"9",-234.397387365389,246.554987633161,1.44705321091995,-235.631662942777,256.478523484815,-233.163111788001,236.631451781507
"10",-130.418749607277,293.29855933895,1.03500418934848,-135.523972911224,301.897204291315,-125.31352630333,284.699914386585
"11",-30.789880321364,352.450626675376,1.03500418934848,-35.8951036253109,361.049271627741,-25.6846570174171,343.851981723011
"12",74.7291983077421,399.609722246119,1.16026292633113,70.7382136684614,408.778802985704,78.7201829470228,390.440641506534
"13",183.838818819324,414.543860080766,1.88853728344819,186.963032777569,424.04329622946,180.714604861079,405.044423932073
"14",296.557300449802,424.327759780005,1.78221261655309,298.655749104585,434.105106722977,294.458851795019,414.550412837033
"15",359.596215111358,339.234541412268,3.00354461554999,369.501080035892,340.610641273011,349.691350186824,337.858441551525
"16",301.85093313132,248.482994651814,-2.20882466088609,307.807061298694,240.45027797227,295.894804963946,256.515711331358
"17",199.700518360396,197.708286827435,-1.85659461939621,202.519752884639,188.113917817577,196.881283836153,207.302655837293
"18",86.0052562009584,190.300422706497,-1.85193578124534,88.7797616791524,180.693023508406,83.2307507227644,199.907821904588
"19",9.82982576909072,111.681776598754,-2.77150175208892,19.152770472777,108.064774794496,0.506881065404459,115.298778403012
"20",36.7799802214649,0.520471867229439,2.7845678104998,46.1493877332784,4.01535425116919,27.4105727096514,-2.97441051671032
"21",56.5833966239335,-112.720379085705,2.68334331068395,65.5516798731416,-108.296591617712,47.6151133747254,-117.144166553698
"22",133.121734366603,-193.017482733579,1.8131212590623,135.521337136253,-183.309655657045,130.722131596952,-202.725309810113
"23",222.038320105518,-255.722017064145,2.51618712937261,230.145577922685,-249.867756164084,213.931062288351,-261.576277964206
"24",262.432544846128,-364.04661757997,2.80096163045763,271.857985243879,-360.705798322894,253.007104448377,-367.387436837046
"25",246.120723939237,-477.721853604727,-2.96296904852474,255.961615701045,-479.498606072681,236.279832177429,-475.945101136773
"26",136.426758033243,-506.743958792749,-1.66483465132651,137.36575589073,-516.699775335034,135.487760175756,-496.788142250464
"27",31.1408399263091,-459.852674212755,-1.89446872379661,34.321343935162,-469.333412277361,27.9603359174562,-450.371936148149
"28",-70.8591774247416,-511.321081786742,-2.23272108019319,-64.7128148690656,-519.209188488238,-77.0055399804176,-503.432975085246
"29",-178.661130351945,-519.626034931509,-1.25185948286708,-181.796702328247,-529.121728080586,-175.525558375643,-510.130341782432
"30",-276.631989357887,-460.603468938985,-0.745813877795348,-283.977348085685,-467.389167514663,-269.286630630089,-453.817770363307
"31",-304.049553543191,-357.961359745633,0.28069451925332,-313.658186265407,-355.191129211985,-294.440920820975,-360.731590279281
"32",-269.227511846773,-247.460316667695,0.310803375527906,-278.748393706224,-244.402080473682,-259.706629987322,-250.518552861708
