X;Z;Angle
-261.2452;-135.0596;-0.393957481695893
-289.703155123619;-23.9332630491946;-0.111487484716759
-349.733639363498;73.2813038618031;-0.593022628642793
-413.602499383765;166.594920042117;-0.916672209803951
-506.220236049203;234.154536625801;-0.422435035955261
-517.009403401123;344.83507552845;0.415254439740071
-417.938838377786;361.202046094933;2.34701553464908
-341.692118885561;274.486882410745;2.24653928283721
-234.397387365389;246.554987633161;1.44705321091995
-130.418749607277;293.29855933895;1.03500418934848
-30.789880321364;352.450626675376;1.03500418934848
74.7291983077421;399.609722246119;1.16026292633113
183.838818819324;414.543860080766;1.88853728344819
296.557300449802;424.327759780005;1.78221261655309
359.596215111358;339.234541412268;3.00354461554999
301.85093313132;248.482994651814;-2.20882466088609
199.700518360396;197.708286827435;-1.85659461939621
86.0052562009584;190.300422706497;-1.85193578124534
9.82982576909072;111.681776598754;-2.77150175208892
36.7799802214649;0.520471867229439;2.7845678104998
56.5833966239335;-112.720379085705;2.68334331068395
133.121734366603;-193.017482733579;1.8131212590623
222.038320105518;-255.722017064145;2.51618712937261
262.432544846128;-364.04661757997;2.80096163045763
246.120723939237;-477.721853604727;-2.96296904852474
136.426758033243;-506.743958792749;-1.66483465132651
31.1408399263091;-459.852674212755;-1.89446872379661
-70.8591774247416;-511.321081786742;-2.23272108019319
-178.661130351945;-519.626034931509;-1.25185948286708
-276.631989357887;-460.603468938985;-0.745813877795348
-304.049553543191;-357.961359745633;0.28069451925332
-269.227511846773;-247.460316667695;0.310803375527906
